"","id","Decimal.Latitude","Decimal.Longitude"
"196",13764,55.410147,-105.758445
"197",13782,52.941847,-73.107078
"198",14364,45.290147,-62.735984
"199",14397,46.666605,-66.291594
"200",13832,45.290147,-62.735984
"201",13767,51.433288,-87.125633
"202",18131,63.748366,-136.036766
"203",1373,55.33333,3
"204",13846,55.443204,-97.404876
"205",4064,55,-115
"206",13843,45.290147,-62.735984
"207",14704,60.108611,-113.6425
"208",18106,64.407745,-120.52011
"209",14672,56.159482,-125.441985
"210",14581,45.290147,-62.735984
"211",14069,52.941847,-73.107078
"212",18169,64.407745,-120.52011
"213",4266,54,-72
"214",14755,55.443204,-97.404876
"215",4234,60,-98
"216",13762,56.159482,-125.441985
"217",14266,45.290147,-62.735984
"218",2910,48.99722,-97.22917
"219",13713,51.433288,-87.125633
"220",3730,50,-86
"221",13836,46.666605,-66.291594
"222",18059,51.433288,-87.125633
"223",14698,52.941847,-73.107078
"224",13822,45.290147,-62.735984
"225",3754,50,-86
"226",14117,45.290147,-62.735984
"227",13830,46.666605,-66.291594
"228",4224,54,-72
"229",4271,50,-86
"230",3702,60,-98
"231",14337,55.443204,-97.404876
"232",14457,46.666605,-66.291594
"233",14785,46.666605,-66.291594
"234",17605,-1.557366,32.735847
"235",14447,45.290147,-62.735984
"236",13601,60.108611,-113.6425
"237",13854,52.941847,-73.107078
"238",14327,46.666605,-66.291594
"239",1532,55.33333,3
"240",13766,55.443204,-97.404876
"241",14697,51.433288,-87.125633
"242",18204,53.003392,-60.79843
"243",864,60.21,-151.17
"244",14100,56.159482,-125.441985
"245",5239,35.53583,-74.95944
"246",1513,55.33333,3
"247",14293,55.443204,-97.404876
"248",2907,48.99722,-97.22917
"249",13523,60.108611,-113.6425
"250",10881,-29.85,31
"251",13201,42.550438,-59.822611
"252",13781,51.433288,-87.125633
"253",14200,55.443204,-97.404876
"254",4686,55.63472,2.86417
"255",13673,55.443204,-97.404876
"256",4185,54,-72
"257",14611,60.108611,-113.6425
"258",14612,51.433288,-87.125633
"259",14152,52.941847,-73.107078
"260",14642,55.443204,-97.404876
"261",3915,50,-86
"262",14718,56.159482,-125.441985
"263",14692,55.142948,-114.807219
"264",13853,46.666605,-66.291594
"265",14691,60.108611,-113.6425
"266",14333,56.159482,-125.441985
"267",4265,50,-86
"268",14592,52.941847,-73.107078
"269",13883,46.666605,-66.291594
"270",14694,55.443204,-97.404876
"271",13783,55.443204,-97.404876
"272",14329,45.290147,-62.735984
"273",17606,-1.557366,32.735847
"274",17602,-1.557366,32.735847
"275",4924,55.63472,2.86417
"276",14176,51.433288,-87.125633
"277",8543,36.29417,-87.08806
"278",3113,48.99722,-97.22917
"279",14507,46.666605,-66.291594
"280",13778,45.290147,-62.735984
"281",13848,56.159482,-125.441985
"282",3404,50,-120
"283",13524,60.108611,-113.6425
"284",14538,45.290147,-62.735984
"285",18174,46.666605,-66.291594
"286",14139,45.290147,-62.735984
"287",13747,55.142948,-114.807219
"288",14663,60.108611,-113.6425
"289",4238,50,-86
"290",14110,45.290147,-62.735984
"291",3792,55,-125
"292",14270,56.159482,-125.441985
"293",14579,46.666605,-66.291594
"294",14705,56.159482,-125.441985
"295",13839,52.941847,-73.107078
"296",14506,52.941847,-73.107078
"297",14408,45.290147,-62.735984
"298",13755,56.159482,-125.441985
"299",4187,55,-115
"300",2929,48.99722,-97.22917
"301",3029,48.99722,-97.22917
"302",13787,55.142948,-114.807219
"303",13660,60.108611,-113.6425
"304",14301,45.290147,-62.735984
"305",13841,55.443204,-97.404876
"306",13674,55.410147,-105.758445
"307",14299,46.666605,-66.291594
"308",13553,60.108611,-113.6425
"309",13722,45.290147,-62.735984
"310",14446,46.666605,-66.291594
"311",13790,55.443204,-97.404876
"312",14649,46.666605,-66.291594
"313",18153,55.410147,-105.758445
"314",14264,46.666605,-66.291594
"315",4061,55,-125
"316",14326,45.290147,-62.735984
"317",14407,46.666605,-66.291594
"318",3777,54,-72
"319",4184,55,-125
"320",14665,52.941847,-73.107078
"321",4661,55.63472,2.86417
"322",13633,60.108611,-113.6425
"323",3952,54,-72
"324",14444,45.290147,-62.735984
"325",3393,60,-98
"326",13776,55.443204,-97.404876
"327",865,60.33,-151.16
"328",14032,52.941847,-73.107078
"329",13904,52.941847,-73.107078
"330",13996,52.941847,-73.107078
"331",18225,60.108611,-113.6425
"332",14771,55.443204,-97.404876
"333",13844,52.941847,-73.107078
"334",14570,45.290147,-62.735984
"335",13893,46.666605,-66.291594
"336",4255,50,-86
"337",13777,46.666605,-66.291594
"338",13539,60.108611,-113.6425
"339",13785,55.410147,-105.758445
"340",14660,52.941847,-73.107078
"341",4200,54,-72
"342",13537,60.108611,-113.6425
"343",5846,67.75,29.5
"344",14575,56.159482,-125.441985
"345",4186,46.5,-66.75
"346",18135,51.433288,-87.125633
"347",13751,55.142948,-114.807219
"348",14781,51.433288,-87.125633
"349",14228,55.443204,-97.404876
"350",18226,55.410147,-105.758445
"351",1057,59.16667,-109.5
"352",14203,52.941847,-73.107078
"353",4076,54,-72
"354",4130,50,-86
"355",14159,55.410147,-105.758445
"356",14406,55.443204,-97.404876
"357",14029,55.142948,-114.807219
"358",14202,51.433288,-87.125633
"359",2979,48.99722,-97.22917
"360",3093,48.99722,-97.22917
"361",14782,52.941847,-73.107078
"362",13842,46.666605,-66.291594
"363",13550,60.108611,-113.6425
"364",14339,55.443204,-97.404876
"365",4256,54,-72
"366",1005,53.91667,-122.76667
"367",3737,50,-86
"368",14546,60.108611,-113.6425
"369",14736,45.290147,-62.735984
"370",14577,56.159482,-125.441985
"371",4276,55,-97
"372",13849,55.443204,-97.404876
"373",14493,51.433288,-87.125633
"374",13541,60.108611,-113.6425
"375",5109,-8.56278,30.87944
"376",9620,29.06667,-91.58333
"377",13917,45.290147,-62.735984
"378",856,51.28,-127.25
"379",3444,43.81389,-110.71
"380",3856,46.5,-66.75
"381",17604,-1.557366,32.735847
"382",3649,55,-115
"383",4235,55,-115
"384",13548,60.108611,-113.6425
"385",3369,60,-98
"386",3790,50,-86
"387",3951,50,-86
"388",13709,55.443204,-97.404876
"389",2914,48.99722,-97.22917
"390",14520,56.159482,-125.441985
"391",14073,45.290147,-62.735984
"392",14191,46.666605,-66.291594
"393",14641,56.159482,-125.441985
"394",14699,55.410147,-105.758445
"395",3776,50,-86
"396",3705,50,-86
"397",13639,60.108611,-113.6425
"398",14399,52.941847,-73.107078
"399",3994,60,-98
"400",3796,50,-86
"401",13567,60.108611,-113.6425
"402",3788,46.5,-66.75
"403",14768,55.443204,-97.404876
"404",13754,55.142948,-114.807219
"405",8604,38.73333,-73.95
"406",13576,60.108611,-113.6425
"407",17647,48.780293,-104.920898
"408",14731,45.290147,-62.735984
"409",13609,60.108611,-113.6425
"410",14647,56.159482,-125.441985
"411",12658,53.9,8.9
"412",3728,50,-86
